image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=354x500 at 0x7C9727537620>,"[['""[\'A woman wearing a green shirt is smiling while making something with yarn."", ""'], ['An elderly woman wearing a green shirt is knitting orange mittens."", ""'], ['An older woman in a green shirt sits and makes woolen mittens."", ""'], ['An old woman is knitting a pair of orange mittens."", ""'], ['A woman making colorful knitted mittens.\']""']]","[['An older South American woman is knitting colorful hand warmers and enjoying herself.'], ['A woman with an orange knitted object on her hand and another in her lap.'], ['A woman is inspecting an ankle warmer.'], ['A woman is trying on knit arm warmers.'], ['An older woman trying on a new glove.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x236 at 0x7C974466B8C0>,"[['""[\'A group of men in blue and pink shirts play hockey on a green field."", ""'], ['Six men playing a sport on a green field, four are wearing pink."", ""'], ['Six men in pink and blue uniforms playing a sport on a green field."", ""'], ['Men are playing a sport on a green field."", ""'], ['A group of men playing field hockey.\']""']]","[['Two men in pink jerseys, two men in white jerseys, and one man in a black jersey and black helmet, are playing field hockey.'], ['Two teams, one in pink and one in white, play lacrosse on a field.'], ['A man playing field hockey with his team jumps in the air.'], ['Five men are playing lacrosse on a field.'], ['Five men playing an interesting sport.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7C97278CB5F0>,"[['""[\'A chocolate colored dog looking up at something in the air."", ""'], ['A brown dog is trying to catch something in its mouth."", ""'], ['A brown dog is attempting to catch a toy in its mouth."", ""'], ['A brown dog tries to catch something in the air."", ""'], ['A brown dog is trying to catch a ball.\']""']]","[['A brown dog opens his mouth to catch a piece of food.'], ['A dog is about to catch a treat in his mouth.'], ['A brown dog is about to catch a treat.'], ['A dog opens its mouth to catch a treat'], ['The dog is catching a treat.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9727DBFE00>,"[['""[\'A group of men sitting cross legged on a blue sheet, on the floor, in a room."", ""'], ['Several men wearing white shirts are sitting on a blue blanket on the floor."", ""'], ['A group of Indian men sitting cross-legged on a blue tarp on the floor."", ""'], ['Several men sit on the floor of a room covered in blue and white sheets."", ""'], ['A group of Indian men sit on a blue mat.\']""']]","[['A group of dark-skinned, south Asian men sit with their backs against the walls of a room that contains multiple posters as well as a closed window.'], ['A group of middle eastern men are pictured seated in a building.'], ['A group of men sitting on the floor of a windowless room.'], ['A room filled with Indian en sitting against the walls.'], ['Several barefoot men sitting on the floor.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C97278445F0>,"[['""[\'A crowd of people standing and waiting for something."", ""'], ['Many people are walking down a brightly lit hallway."", ""'], ['A crowd of people are moving forward in a line."", ""'], ['A group of people are walking down a street."", ""'], ['People are walking in a crowd.\']""']]","[['There are many young people climbing stairs with one guy in blue jeans and t-shrt looking back at the cameraman.'], ['A large group of people ascend a staircase leaving a room with oriental writing on the ceiling.'], ['A large Asian crowd walking up a flight of stairs.'], ['A large group of people are going up the stairs.'], ['Several people walk up steps with one another.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7C97445495B0>,"[['""[\'A man with a white shirt and maroon shirt is grilling meat outside while others watch him."", ""'], ['A man in a white shirt is grilling food in the middle of a sidewalk."", ""'], ['A man wearing a white shirt is cooking meat on a grill outside."", ""'], ['A man grills food on the street while others look on."", ""'], ['A man cooking food on the sidewalk.\']""']]","[['A man is sitting with his head facing down, while other people are looking in his direction.'], ['A man appears to be cooking up some food for customers in the street.'], ['A man wearing a white shirt is cooking food on a small grill.'], ['Four men standing around a small grill preparing food.'], ['A food vendor prepares snacks for waiting customers.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97441C9760>,"[['""[\'A man wearing a striped shirt is walking through a roped off area with three women and an old man."", ""'], ['A group of people walk past a building with arches on the front."", ""'], ['People are walking in front of a building with pillars."", ""'], ['People walking through a beautiful place."", ""'], ['Tourists visiting a beautiful place.\']""']]","[['Several people walking next to a concrete building with many archways'], ['These six people are walking outside a building with columns.'], ['A group of people are walking in single file at an exhibit.'], ['The five people are standing under three tan arches.'], ['Students are going to class at a university']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x500 at 0x7C9727AF7BC0>,"[['""[\'A black and white dog is jumping over a blue and yellow bar."", ""'], ['The black and white dog is jumping over a yellow bar."", ""'], ['A dog jumps over a blue and yellow hurdle."", ""'], ['A black dog jumps over a hurdle."", ""'], ['A dog jumps over a hurdle.\']""']]","[['A dog is jumping over a series of colored gates.'], ['A black and white dog is jumping over a hurdle.'], ['A dog hurdles over a series of poles.'], ['A small black dog jumping over gates'], ['A dog jumping over a beam']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C9744F72750>,"[['""[\'A group of people are sitting at a dinner table, watching television."", ""'], ['A family gathers around the table to enjoy a candlelight dinner."", ""'], ['A family is eating dinner while watching a football game."", ""'], ['A group of people eat a meal and watch a football game."", ""'], ['A group of people sit around a table eating dinner.\']""']]","[['A family gathers for a nice meal in a comfortable home watching tv next to the fireplace.'], ['People are eating food while watching television.'], ['Four people sit down for dinner in a house.'], ['A family is dining and watching television.'], ['A family is having a meal together at home.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7C97275613D0>,"[['""[\'A man and a woman in a mall dance together in front of a crowd."", ""'], ['A couple dancing in the middle of a shopping mall."", ""'], ['A man and woman are dancing at a shopping mall."", ""'], ['A couple dances while a crowd watches."", ""'], ['A couple dances in a shopping mall.\']""']]","[['""A young woman, dressed in a red shirt and black skirt, is dancing with a young man, dressed in a white shirt with red pants, in front of a projector screen which is showing a picture from a children\'s film."", \'A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.'], ['A man and women are holding hands and dancing with many people in the background but they are not paying attention to them.'], ['A couple, wearing black, burgundy, and white, dance.'], ['Two people dancing, wearing dance costumes.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7C9744FE5A60>,"[['""[\'A city street with cars parked along it and a person walking down the middle of it."", ""'], ['A person walking down a cobblestone street lined with cars and buildings."", ""'], ['A person is walking down a street lined with cars and buildings."", ""'], ['A person walking down a cobblestone street in a town."", ""'], ['A person walking down a cobblestone street.\']""']]","[['A sunny street with a red building, parked cars, and a man walking down the road.'], ['Old cobblestone street with cars parked on the sides.'], ['A city street with a lone man walking in the middle.'], ['A person is walking down a cobblestone street.'], ['A person walking by buildings and cars.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97441CAC00>,"[['""[\'Soccer players from Arsenal and Chelsea are playing a game in front of a large crowd."", ""'], ['A soccer game in progress with players from opposing teams on the field."", ""'], ['Four soccer players, three from Arsenal and one from Chelsea, are playing."", ""'], ['The soccer players are standing on the field."", ""'], ['A group of soccer players in the field.\']""']]","[['A soccer game between a team with blue uniforms and red uniforms where the ref or a coach is talking to a player.'], ['A referee in an international soccer match discussing a recent foul with players from each team.'], ['A soccer team is standing on the field waiting for their time to make a move.'], ['During a soccer game two players in blue talk with a player in red'], ['Soccer players speaking with referee during a game.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7C9727410650>,"[['""[\'A woman in a striped shirt is reading a paper while another woman in a black shirt and blue jeans is looking at a table with a drink on it."", ""'], ['Two young women are sitting in the grass and reading."", ""'], ['Two women sitting on the ground, reading a map."", ""'], ['Two women reading on the ground."", ""'], ['A blond woman is reading.\']""']]","[['A young blond woman is putting together a table while a young brunette is reading her the instructions.'], ['Two woman are on the ground setting up shot glasses on a table.'], ['A man and two women attempting to construct a grill.'], ['A group of people are hanging out outside.'], ['Two women work on a project outdoors.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C9746758890>,"[['""[\'A young man wearing white sneakers is jumping in the air in front of a brick wall."", ""'], ['A young man is in midair in front of a brick wall."", ""'], ['A guy is jumping in the air by a brick building."", ""'], ['A young man jumping off of a brick wall."", ""'], ['A young man jumping off of a wall.\']""']]","[['A man wearing black sweatpants, a white T-shirt, and sneakers leaps off a concrete roof toward a tall brick wall.'], ['A tall, athletic man leaps upward towards the top of a brick wall.'], ['A man taking a daring leap while practicing his parkour'], ['Man in a white shirt jumping toward a brick wall.'], ['Man jumping from lower roof to higher roof.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97449B7A40>,"[['""[\'A man wearing a black shirt is pointing and has his arm raised, while a woman in a beige jacket is sitting to his left."", ""'], ['A man in a blue shirt is pointing and holding his hand up in the air."", ""'], ['A man wearing a blue shirt is pointing and has his hand raised."", ""'], ['A man points and holds his hand in the air."", ""'], ['A man is pointing and holding up his hand.\']""']]","[['An old man with arms outstretched sits against a wooden wall between a woman and another man.'], ['Old man with black shirt throws hands up while sitting next to white woman and white man.'], ['A gray-haired man is sitting down with his arm stretched out.'], ['An older man is opening his arms wide and looking perplexed.'], ['A man in a gray shirt holds his hands in the air.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7C9744D08F50>,"[['""[\'A man in a white and blue shirt stands in front of a white fence in front of an oriental style building."", ""'], ['A man in a white shirt and khaki pants stands outside a white fence in front of a building."", ""'], ['A man in a white and blue shirt poses in front of a large building."", ""'], ['A man posing in front of a large oriental building."", ""'], ['A man posing in front of a Chinese building.\']""']]","[['A white man in a white and black t-shirt, white khaki pants, and black shades is waving his arms and standing in front of a white fence of what looks like an Asian property with pointy roofs, a red flag on a tall pole, and pink flowers.'], ['A pale man wearing sunglasses with a white polo shirt and khaki pants, stands outside a white gate of a building, with Asian inspired architecture, his excitement is illustrated by his smile and outstretched arms.'], ['A man wearing a white shirt with a black stripe in khaki pants posing in front of a fence guarding a building and a red flag.'], ['Man in white shirt poses in front of white fence and large building.'], ['Man making a funny pose in front of an Asian building.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x474 at 0x7C9744B2DBB0>,"[['""[\'A man with a tattooed arm is sitting behind the counter of a fish shack."", ""'], ['A tattooed man with a mustache looks out the window of a restaurant."", ""'], ['A man with tattoos sits behind the counter of a seafood restaurant."", ""'], ['A tattooed man sits behind the counter at a seafood stand."", ""'], ['A man with a tattoo stares out the window.\']""']]","[['A guy with his hand on his chin, tattoos on both arms, and a gold bracelet on standing behind a food business counter.'], ['A man with several tattoos is working a restaurant stand.'], ['A male vendor waits for customers to order beer.'], ['A man with tattoos holds his chin and thinks.'], ['Man working at outdoors concession stand.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7C9744D0BA10>,"[['""[\'A young boy with blond-hair, wearing a blue shirt with soccer ball and other pictures, is playing chess, with a cat in the background."", ""'], ['A young boy, wearing a soccer-print shirt, plays chess with a black cat in the background."", ""'], ['A toddler wearing a blue shirt plays chess with a cat in the background."", ""'], ['A small child is playing chess and there is a cat in the background."", ""'], ['A little boy playing chess with a white pawn.\']""']]","[['The baby seems fascinated with the pawn chess pieces on the chessboard.'], ['Toddler playing with chess pieces on a chessboard.'], ['A toddler is grasping pawns on a chessboard.'], ['The cute little baby is playing chess.'], ['A baby plays chess as a cat looks on.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=334x500 at 0x7C972742DFD0>,"[['""[\'A man wearing a white robe and a woman wearing jeans are dancing with others."", ""'], ['A group of people in a field dancing and having fun."", ""'], ['People dance with their arms in the air."", ""'], ['People dancing in a field."", ""'], ['People are dancing.\']""']]","[['A man dressed in ceremonial clothing is dancing outside with people following him waving their hands.'], ['A group of people are being led in a dance by a man in traditional dress.'], ['A man in a white robe leading other people in a line dance of some sort.'], ['Girls dance behind a man wearing a white robe and turban.'], ['Guy performing and teaching Middle Eastern Dancing.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C974536E060>,"[['""[\'Three men are standing and sitting outside a building with a Chinese sign."", ""'], ['Three men are working on a green bicycle in an urban area."", ""'], ['Three men are working on a green bicycle."", ""'], ['Three men work on a green bicycle."", ""'], ['Three men working on a bicycle.\']""']]","[['An Asian man attempting to repair a green bicycle outdoors while two other Asian men stand by.'], ['Two men observe as a third fixes a green bicycle in front of a building with glass doors.'], ['""Three Chinese men trying to repair a child\'s green bicycle."", \'Three men are working on a green bicycle.'], ['A few Japanese folk fix a bike.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9744A08350>,"[['""[\'A group of people are in a room, sitting at tables, eating, with a man standing at a podium, with two women next to him."", ""'], ['There are many people at tables, and there is a man standing at a podium."", ""'], ['A group of people sit at tables while a man speaks from a podium."", ""'], ['A group of people sitting at tables and listening to a speaker."", ""'], ['A group of people are gathered in a dining room.\']""']]","[['A woman in a tan shirt is addressing a group of people in a restaurant.'], ['A group of people are at tables looking towards a speaker.'], ['A group of elderly people are meeting together in a room.'], ['A group of people are conversing with one another.'], ['People are gathered at a meeting.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C974536E810>,"[['""[\'A group of young adults are practicing a routine while a few look on."", ""'], ['A group of people are acting out a scene on a gymnasium floor."", ""'], ['A group of people are acting out a scene."", ""'], ['People performing in a stage play."", ""'], ['Men practicing wrestling.\']""']]","[['Two individuals, one male and one unknown, playfully wrestle on a cement floor while five onlookers smile.'], ['A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground.'], ['Two people are acting on a stage tackling each other as onlookers cheer and applaud.'], ['A woman tickling a man on the floor while five other people are laughing.'], ['Two people appear to fight while five others look on in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9727413D10>,"[['""[\'A woman wearing a red shirt is shopping at an asian market with a man in a black shirt."", ""'], ['A woman in a pink sweater is shopping at an asian market with a man in a black shirt."", ""'], ['A man and woman are shopping for food in a market."", ""'], ['A woman is looking at food at a market."", ""'], ['Two people are shopping in a market.\']""']]","[['An East Asian man in a black jacket and a woman in a salmon-colored jacket are looking at goods in an Asian grocery store.'], ['A man and woman are looking at something inside a market filled with many foods.'], ['A man and a woman examine the wares of fresh produce at a grocery store.'], ['Lady in red jacket, man in black jacket in open market.'], ['An Asian man and woman in a produce market.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7C972731A030>,"[['""[\'A young Asian girl is standing outside carrying two wooden baskets."", ""'], ['A young girl is holding a couple of cages."", ""'], ['A young girl holds up two small cages."", ""'], ['A little girl carries two cages."", ""'], ['A child is holding two cages.\']""']]","[['A little girl holding 2 cages one of them is being held closeup to the camera she appears to be at the entrance of a store.'], ['A little girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.'], ['A small girl holding a colorful yellow and orange box by a string.'], ['A young girl in a white outfit and flip-flops is holding two cages'], ['A thin young girl with two small wooden cages, one in each hand.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7C9744B2CE90>,"[['""[\'A dancer in a dark leotard is dancing on one leg while holding her foot behind her head."", ""'], ['A dancer is stretching while another dancer looks on."", ""'], ['A dancer on a stage poses while another watches."", ""'], ['A ballerina stretches on a stage."", ""'], ['A woman is stretching.\']""']]","[['A modern dancer is holding a pose in the foreground and another dancer is in the background.'], ['A man in a woman in dance outfits are performing stretching maneuvers on a stage.'], ['Two classical dancers, a man and a woman, performing on stage.'], ['A female contortionist practices her solo performance on stage.'], ['A lady and a man are on stage dancing with flexibility.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x484 at 0x7C97449B4BC0>,"[['""[\'Two young people with alternative style clothing walking down a street."", ""'], ['Two young adults with punk rock clothing walk down the street."", ""'], ['A man and a woman are walking down the street wearing boots."", ""'], ['Two people with punk rock style are walking down a street."", ""'], ['Two punk rockers are walking down the street.\']""']]","[['A woman in skirt, torn stockings and combat boots and a man in aviators and batman tank top walk down a city street.'], ['A man and woman dressed in punk rock style clothing are seen crossing the street during the daytime.'], ['Two hipsters strolling down the street with ridiculous looking clothes on.'], ['A man and a woman dressed in punk clothing walking down the street.'], ['Two colorfully dressed people walk down a sidewalk into the camera.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7C9744B2C7A0>,"[['""[\'A group of people sit outside a hut in a field."", ""'], ['African tribe sitting outside a hut."", ""'], ['African villagers sit in front of a hut."", ""'], ['African people sitting outside a hut."", ""'], ['Africans sitting outside a hut.\']""']]","[['A family in an African village sits outside of their home on the ground.'], ['A group of indigenous people relaxing outside of their hut.'], ['Numerous people sitting on the ground near a straw hut.'], ['Multiple people are sitting in outside of a hut.'], ['Several African women sit in front of a hut.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=353x500 at 0x7C9727DBE9C0>,"[['""[\'A young girl wearing pink pants and a white jacket is skiing down a hill."", ""'], ['A little girl in pink pants and a white jacket is skiing."", ""'], ['A girl in pink pants and a white jacket is skiing."", ""'], ['A girl skiing down a snowy hill."", ""'], ['A girl skiing down a slope.\']""']]","[['A little girl in a pink and white ski suit and red helmet skies sideways on the snow covered slope.'], ['Young skier in a pink ski-suit is on the side of a snowy hill'], ['Person in pink skis wearing skis on a slope.'], ['Child in pink and white skiing down a slope.'], ['Little girl skis on slope.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x500 at 0x7C9727305130>,"[['""[\'A man with no shirt, wearing tights, and a black jacket, walks along a stage while people take pictures."", ""'], ['A wrestler is walking on stage and a person is taking a photo."", ""'], ['A man in a black jacket and tights walking on a stage."", ""'], ['A shirtless man walks on stage with his jacket off."", ""'], ['A man in a black jacket walking across a stage.\']""']]","[['A man is standing with his arms spread wide and an open vest exposing his chest.'], ['A man who is dressed like a wrestler walks while people take his picture.'], ['A shirtless man wearing a vest walks on a stage with his arms up.'], ['A man wearing a vest and pants walks across stage at a concert.'], ['A man in a black vest walks on a rail.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x450 at 0x7C97278CB290>,"[['""[\'A man in a blue shirt and a woman in a tan dress pose for a picture in the street."", ""'], ['A man and a woman are dressed in colorful outfits and pose for a picture."", ""'], ['Two people are wearing strange clothing and making silly faces."", ""'], ['A man and woman wearing strange outfits pose for a picture."", ""'], ['Two people wearing colorful costumes.\']""']]","[['A man with dreadlocks wearing a blue shirt poses with his arm around a drag queen who has post-it notes in her hair.'], ['A man in a blue shirt has his arm over a woman wearing flower sunglasses and an orange outfit.'], ['A man with dreadlocks poses with an oddly dressed woman (drag queen?) in a city.'], ['Cross-dresser, with condoms in his hair, posing with a friend.'], ['A woman in a costume wearing condoms in her hair.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x420 at 0x7C97278CB770>,"[['""[\'A man in a red shirt and blue hat sits on a chair with a little table and suitcase next to him."", ""'], ['A man in a red shirt sits on a chair in front of a building."", ""'], ['A man sitting in a chair in front of a building."", ""'], ['A man in a hat sits on a chair in the street."", ""'], ['A man in a red shirt sits outside.\']""']]","[['A man in a blue and white hat and a red and white shirt sets up a small table with glassware before him and a shadow on a streetlight is seen on the gray wall behind him.'], ['A man in a red shirt and a blue hat is sitting on a sidewalk and touching drinking glasses.'], ['A Latin American street vendor sets up a table selling glass ware in an inner city setting.'], ['A man wearing a hat sitting on a stool playing water glasses in the street.'], ['A man sitting on a stool selling something.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C9727575520>,"[['""[\'Two men wearing red and black costumes are performing for a crowd of people."", ""'], ['Two men are performing a circus act in front of a large crowd."", ""'], ['Two men wearing red costumes are performing for an audience."", ""'], ['Two men are doing acrobatics while a crowd looks on."", ""'], ['Two men doing acrobatics for a crowd.\']""']]","[['Two men in red performance one-piece-suits, performing what looks like gymnastics feats in front of an audience, outside.'], ['Two muscular men in red doing performance art on a black mat on grass with an audience in the background.'], ['The crowd is enjoying watching the circus performers do their routine.'], ['Two men wearing red suits perform in front of crowd.'], ['A big crowd is watching some kind of a game.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9744EBD610>,"[['""[\'A woman wearing black boots and a white sweater is sitting next to a cat and two rabbits in a pen."", ""'], ['A woman sits on the floor of a cage with a cat and two rabbits."", ""'], ['A woman and her pet cat watching the rabbits."", ""'], ['A woman and her pets sitting in a cage."", ""'], ['A woman watching two rabbits and a cat.\']""']]","[['A cat observing two little rabbits in a box of hay inside an wire enclosure, while a woman in a white sweater looks on.'], ['A woman sits in a caged in area with a cat and two bunnies.'], ['A woman watching over her two bunnies and curious cat.'], ['An old woman watches a cat investigates two rabbits.'], ['A cat looking after the rabbits in a cage.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97441CAA80>,"[['""[\'A martial artist is practicing a move with another martial artist while others stand and watch."", ""'], ['Two men in black uniforms practicing martial arts in front of a yellow house."", ""'], ['Two men in black uniforms are sparring while others watch."", ""'], ['A group of men practice martial arts in front of a house."", ""'], ['A group of men are practicing martial arts outside.\']""']]","[['Two men sparring on a field with one man grabbing the wrist of the other while several people watch on a green lawn with a yellow house and several cars in the background.'], ['Men in black martial arts outfits practice their tan art in the grass in front of a tan building with a red roof.'], ['The students of Martial Arts class practicing outside near the studio'], ['Martial arts students practice outside building.'], ['Some men are learning martial art.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C9727574E60>,"[['""[\'People are walking through a park while holding balloons under a large pink and blue balloon arch."", ""'], ['A group of people carrying balloons under a balloon arch."", ""'], ['A group of people walking through a balloon archway."", ""'], ['A crowd of people walk under a balloon arch."", ""'], ['People holding balloons under a balloon arch.\']""']]","[['A large group of people walks beneath an arc made of balloons in a grassy clearing.'], ['Some people holding balloons are walking across some grass.'], ['A lot of people are on the street holding balloons.'], ['Individuals with balloons participating in a walk.'], ['A charity walk happening with balloons.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97441C80B0>,"[['[\\\'A man in a blue and black plaid jacket is standing next to a sign that reads ""we are all workers"" with a lot of little pictures on it.'], ['\\'], ['\\\'A man in a blue and black jacket stands in front of a sign that reads ""We Are All Workers"".'], ['\\'], ['\\\'A man in a blue and black checkered shirt standing in front of a sign that says ""We are all workers"".'], ['""'], ['A man in a blue and black jacket standing in front of a Levi sign."", ""'], ['A man is standing in front of a sign.\']""']]","[['A man in a black and blue checkered hooded sweater is looking at a Levi\\\'s advertisement that says, ""We Are All Workers.""'], ['A young man in a striped hoodie looks at an artistic Levi\\\'s advertisement that says ""We are all workers.""'], ['""People gather in front of a advertisement for Levi\'s with the words \'we are all workers\'."", \'A levis jeans ad reads ""we are all workers"" in a block-like climbable display.'], ['Two men are looking at a advertisement for Levis.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=416x500 at 0x7C972798DCD0>,"[['""[\'A man and woman walk down the sidewalk past a building with many signs."", ""'], ['An older couple walking down a street past a building with blue chairs'], ['An elderly couple walk down the sidewalk in front of a restaurant."", ""'], ['A couple walking together while holding shopping bags."", ""'], ['An elderly couple walks down the sidewalk.\']""']]","[['An older man in a light green shirt and dark green pants holds the hand of an older woman as they pass an outside eatery with teal umbrellas.'], ['The old couple is walking past a colorful outdoor cafe.'], ['An older couple walks arm in arm past some shops.'], ['Two old people strolling the street.'], ['A couple walking down a street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C97454D09B0>,"[['""[\'A small dog is standing on the edge of a pool."", ""'], ['A dog standing on a ramp leading to a pool."", ""'], ['A brown and white dog at the edge of a pool'], ['A dog is standing on a ramp by a pool."", ""'], ['A dog stands at the edge of a pool.\']""']]","[['A brown and white dog walks down a ramp toward a pool of water in which a green tennis ball floats.'], ['A brown and white dog is looking at a tennis ball floating in a pool.'], ['A brown and white dog looking into a pool at a tennis ball.'], ['A dog descends a ramp into the pool to get a tennis ball.'], ['A dog looking at a tennis ball floating in a pool.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C972744B4D0>,"[['""[\'A man in a white tank top is looking at a rack of clothing."", ""'], ['A man is looking at clothes on a rack at a flea market."", ""'], ['A man is looking at a rack of clothing in a yard."", ""'], ['A man at an outdoor market looking at clothing."", ""'], ['A man is browsing for clothes at a market.\']""']]","[['A man in a white tank top stands next to a rack of colorful clothes in a grassy field filled with vendors.'], ['There are many families selling various wares, including clothes, in a park.'], ['An outdoor flea market with a variety of items being sold.'], ['A man sells clothing at an open market.'], ['Clothes swaying in the wind.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x400 at 0x7C9727563710>,"[['""[\'A black dog runs in a grassy field with a blue Frisbee in its mouth."", ""'], ['A black dog carrying a blue Frisbee in his mouth."", ""'], ['A black dog carries a blue Frisbee in a field."", ""'], ['A black dog carries a blue Frisbee."", ""'], ['A black dog running with a toy.\']""']]","[['A black and white dog with a blue toy in its mouth runs on a grassy surface just beyond a fence.'], ['A black dog is running pasts a wire mesh fence with a blue bone shaped toy in its mouth.'], ['A black dog is running with a blue bone in his mouth.'], ['A black dog running with a blue toy in his mouth.'], ['A dog is running with a blue bone in its mouth']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7C9744B790D0>,"[['""[\'A young woman with a red headband is holding a white sheet in the air."", ""'], ['A woman wearing a white t-shirt is holding a white sheet in the air."", ""'], ['A woman with a red headband is holding a white sheet."", ""'], ['A woman is holding a sheet in the air."", ""'], ['A woman is holding a white sheet.\']""']]","[['A woman in white shirt and purple headband is sitting and holding a pole with white a cloth.'], ['A woman wearing a white shirt and a red headband is sitting and holding on to a pole.'], ['A woman in a white shirt, with a red bandanna holding the end of a sign post.'], ['A woman with a redhead band and tan pants sitting on steps with child.'], ['Woman in white sitting down and looking into the distance.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9727229EB0>,"[['""[\'A child wearing pink pants and a pink and white coat stands in the middle of a highway and gestures at oncoming cars."", ""'], ['A child standing in the middle of the street waving at passing cars."", ""'], ['A young child in the middle of the street pointing at a car."", ""'], ['A young boy is standing in the middle of the road."", ""'], ['A young boy is standing in the middle of the road.\']""']]","[['A male with brown clothing standing on the side of the street with his thumb out with a big bag on his back.'], ['A young boy, arms outstretched, stands by a road where two cars are passing.'], ['A boy wearing brown hitchhiking on a road with cars passing by.'], ['A child standing next to a road with automobiles passing by.'], ['A young kid standing on a road with passing cars.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=334x500 at 0x7C9744D0B560>,"[['""[\'A woman in a black jacket and jeans and a man in a black jacket, blue jeans and white hat are walking through a crowd."", ""'], ['A man in a black jacket and white hat walking down the street with a group of people."", ""'], ['A man in a black shirt and white hat is walking down the street."", ""'], ['A man in a black jacket and white hat is walking down the street."", ""'], ['A man in a black jacket and white hat walking down a street.\']""']]","[['This photo shows a group of people walking and one man is holding a bottle of wine while handing a glass of wine to a woman walking near him.'], ['A man in a black shirt is walking down the street offering a glass of wine to a woman.'], ['A redheaded woman standing next to a man in a black jacket with a wine bottle.'], ['A man drinking in public, while making contact with a redheaded girl.'], ['Several people with white hats on with a black brim.']]"
